题号,分类,问题,确认结果/备注,,,,
1,全局问题,各业务节点的状态流转规则需要明确：报名、审核、缴费、文件上传、开标、评标、公示、合同归档等。,采购信息公告的、文件上传、开标、评标、采购结果、缴费,,,,
2,门户、注册登录、CA,请提供 CA 服务商名称、商务/技术联系人和最新接口文档。,CA服务商计划选择E签宝，一期先使用账号密码登录或手机号登录,,,,
3,门户、注册登录、CA,CA 登录是扫码、UKey、浏览器控件，还是本地驱动？,CA登录与CA服务商对接。,,,,
4,门户、注册登录、CA,CA 登录、签章、加密、解密分别使用哪类证书或介质？四个场景对应的厂商接口和验收流程是什么？,CA登录通过CA服务商系统认证，接口文档需要与服务商流程走完后发出。一期先使用账号密码登录或手机号登录,,,,
5,门户、注册登录、CA,CA 证书申请是在平台内提交，还是跳转第三方平台？,根据服务商提供方式而定，优先采用服务商提供的功能。,,,,
6,门户、注册登录、CA,请明确 CA 驱动安装包由谁提供、支持哪些操作系统和浏览器版本，以及最晚提供时间。,最晚提供时间，9月前提供。,9月前吗，会不会太晚？,,,
7,门户、注册登录、CA,登录时是用户选择角色，还是账号自动绑定角色？,自动绑定角色,,,,
8,门户、注册登录、CA,监督人账号由招标人还是代理机构创建？创建后是否需要平台审核、短信激活或本人确认？,招标人,,,,
9,门户、注册登录、CA,首个超级管理员账号由谁提供初始化信息？初始密码如何安全交付并强制修改？,使用单位的管理人员提供初始化信息。手机号码注册，注册手机号收验证码。,,,,
10,门户、注册登录、CA,公告详情页的报名入口在什么项目状态和时间范围内显示？未登录或无资格用户点击后如何处理？,没有报名环节,原需求文档有提到报名,,,
11,门户、注册登录、CA,点击报名后，是在门户完成报名，还是跳转后台投标管理？,没有报名环节,原需求文档有提到报名,,,
12,门户、注册登录、CA,供应商准入审核包含哪些状态？各状态下可查看、报名或投标哪些项目？审核驳回后如何重新提交？,没有供应商准入审核环节，供应商初次注册时，由后台确认后可直接进行投标。,需求文档有提到需要准入审核,,,
13,门户、注册登录、CA,组织管理是只有平台管理员使用，还是企业主账号也能创建子账号？,平台管理员使用,企业不能创建子账号的意思吗?,,,
14,交易系统,需求发布后是否需要审批？,"如果是招标代理发布，需要招标人（采购管理部）审核：
如果是招标人发布，内部审核流程：需求部门-采购管理部",流程具体怎么体现 招标代理和招标人的关系？,,,招标代理还能创建采购需求？招标代理不是在招标方明确需求创建项目时才设置的吗
15,交易系统,工程、货物、服务的需求表单字段由谁配置？,系统自动配置,,,,
16,交易系统,一个项目最多可拆分多少标段/包？各标段能否独立设置采购方式、时间、文件和评标办法？,至少5个以上。可以,具体上下限,,,
17,交易系统,自行招标与委托代理能否在项目创建后切换？切换时权限、流程和历史数据如何处理？,不需要,,,,
18,交易系统,代理机构抽取规则是什么？,指定，每年更换一次，由招标人授权登录,招标代理是经过招标人同意才能登录？ 招标代理里的受委托项目列表怎么解释？不经过授权的代理机构是否没有登录权限？指定的意思是只有招标人指定代理机构还是需要抽取？,,,
19,交易系统,代理机构是否需要确认接受委托？,需要,,,,
20,交易系统,公开招标、邀请招标、公开询比价、邀请询比价各自保留、增加或跳过哪些业务节点？,环节一样，只是邀请询价，不用开标和评标，直接可以进入采购结果。,,,,
21,交易系统,请提供招标文件模板清单，并明确模板维护人、版本管理和项目引用规则。,开发到具体模块的时候，与采购管理部联系,,,,
22,交易系统,招标文件是否需要审批后才能发布？,"如果是招标代理发布，需要招标人（采购管理部）审核：
如果是招标人发布，内部审核流程：需求部门-采购管理部",,,,
23,交易系统,招标文件下载是否需要报名或缴费后才允许？,不需要，但是只能是经过授权后的供应商才能下载；如果是公开的，就可以自行下载,供应商必须经过授权？经过授权的供应商是报名过程？还是公开招标和邀请招标的区别？,,,
24,交易系统,投标邀请书是否自动生成？模板由谁维护？,自动生成，开发到具体模块的时候，与采购管理部联系,,,,
25,交易系统,报名失败、驳回、撤销如何处理？,退回招标人，,,,,
26,交易系统,未缴纳保证金或文件费时，分别限制哪些操作：下载文件、提交投标、签到或参与开标？,不要缴纳，只是采购结果出来后，由中标人缴纳投标费用,"费用是指标书费还是保证金还是两者都要,不用缴纳是指保证金和标书费都不需要吗? ",,,
27,交易系统,开标解密失败后，投标人、主持人和平台分别如何处理？是否延时、人工介入、异常开标或判无效投标？,优先人工介入,,,,
28,交易系统,专家评分是否支持复核？,支持,,,,
29,交易系统,中标候选人如何确定？,根据招标文件定，具体联系采购管理部,,,,
30,交易系统,定标规则是什么？,根据招标文件定，具体联系采购管理部,,,,
31,交易系统,中标结果是否需要审批后发布？,需要审批，但是审批流程不在这个系统完成,,,,
32,交易系统,中标通知书是否需要电子签章？,需要,,,,
33,交易系统,合同归档需要上传哪些材料？是否需要审批？,没有这个环节,需求文档中有提到合同归档，中标之后需要签订合同，上传合同附件进行归档,,,
34,投标文件管理,投标文件是否允许撤回和重新上传？,在有效期内可以,,,,
35,投标文件管理,投标截止时仍在上传、撤回或重传的文件如何处理？管理员是否存在应急处置权限？,既然到了截止，上传不成功就不成功,,,,
36,投标文件管理,评标条款页码由投标人手工关联还是系统识别？未完成关联是否允许提交投标文件？,系统识别，允许,,,,
37,投标文件管理,投标文件允许在线预览哪些格式？预览前是否需要脱敏或解密？哪些角色在什么阶段可查看？,待模版确认后再讨论,,,,
38,投标文件管理,投标文件允许哪些格式？单个文件、单次上传和项目总容量上限分别是多少？,word、Excel、PDF、jpg等,,,,
39,投标文件管理,投标人解密失败允许重试几次、截止到什么时间？需要保留哪些失败证据和日志？,投标截止日期；保留,,,,
40,专家库管理,专家回避规则包括哪些条件：单位、地区、项目关系、历史参与或其他关联关系？,单位,,,,
41,专家库管理,专家修改哪些身份、资质或专业字段会触发重新审核？审核期间能否参与抽取和评标？,没有这个环节，评分人员可以指定也可以抽取，根据每次采购项目的情况而选定,,,,
42,专家库管理,评分点配置是绑定专家，还是绑定项目评分规则？,绑定项目评分规则,,,,
43,专家库管理,专家账号是提前创建，还是抽取后自动生成？,提前创建,,,,
44,辅助功能,异议是否有处理时限？,没有供应商异议环节,,,,
45,辅助功能,异议成立后是否会触发澄清、变更或重新评审？,没有供应商异议环节,,,,
46,辅助功能,请确认保证金退还是否纳入最终交付；如纳入，明确触发条件、退还方式、审批流程和状态。,退还不在这里完成,,,,
47,辅助功能,招标人、代理机构、投标人、专家、监督人和管理员的控制面板分别展示哪些指标、待办和数据范围？,"招标人：系统消息，系统待办，招标管理（招标公告，澄清答疑，投标登记确认），开评标管理（资格预审，开标大厅，开标记录，评标结果，评价，摇珠），定标管理（定标，中标候选人公示，确认中标人，中标通知书），费用管理（保证金管理，保函管理，专家费管理，交易服务费管理），合同管理（合同公示）
代理机构：同招标人
投标人：系统消息，系统待办，企业信息维护，投标登记，我的项目，招标答疑，评标澄清回复，费用管理（报名费，保证金，交易服务费，保函）
专家：系统消息，系统待办，专家分类基础数据，抽取规则参数设置，业务流程配置，通知与公告设置
监督人：系统消息，系统待办，
管理员：系统消息，系统待办，系统信息维护，用户权限管理",,,,
48,审批功能,哪些业务节点必须审批？,需求、招标文件、中标结果,,,,
49,审批功能,审批驳回后退回到哪里？,退回经办人,,,,
50,审批功能,审批通过后是否自动推进业务状态？,是,,,,
51,审批功能,不同采购方式是否使用不同审批流？,不用,,,,
52,审批功能,审批是否支持加签、转办、退回？,支持,,,,
53,审批功能,审批记录以什么格式进入项目归档？需要包含哪些意见、附件、签名和时间信息？,全部,,,,
54,审批功能,审批通知使用短信还是站内信？分别在哪些节点发送、发送给谁、失败后如何重试？,站内信,,,,
55,审批功能,审批流的配置权限如何分配？哪些管理员可新建、修改、启停和发布审批流？,"招标人（采购管理部）可以新建、修改、启停和发布。
如果是招标代理发布，需要招标人（采购管理部）审核：
如果是招标人自行发布，内部审核流程：需求部门-采购管理部",,,,
56,系统管理,短信、邮件分别用于哪些通知场景？请明确模板、触发时机、收件人、失败重试和发送回执规则。,不需要这个环节,需求文档不是有说需要这两个模块吗？,,,
57,系统管理,超级管理员后续如何新增、停用、重置和移交其他管理员账号？,系统设计方给方案,,,,
58,系统管理,普通管理员是否可以创建其他管理员？,根据权限而定,,,,
59,系统管理,关键业务日志需要记录哪些字段？,系统设计方给方案,,,,
60,系统管理,供应商进入黑名单后，报名、投标、合同和账号分别受什么限制？已参与项目如何处理？,供应商进入黑名单后，不能完成任何的操作，已完成采购的项目不受影响，正常执行的项目，评标过程，有资格审核环节。招标人可以随时中止/终止所有流程。,,,,
61,系统管理,供应商考核由谁发起？,不需要这个环节,,,,
62,系统管理,供应商等级如何计算？分别影响哪些项目准入、邀请和评审规则？,不需要这个环节,,,,
63,非功能需求,CA 联调和最终验收使用哪些测试证书、UKey/介质、浏览器、驱动版本和测试场景？,CA服务商确认后确定,,,,
64,非功能需求,投标文件采用哪些加密算法和文件格式？密钥由谁生成、保管和销毁？如何验收不可篡改与不可提前解密？,"SM4 对称加密，SM2 非对称加密，SM3 哈希杂凑算法
密钥由投标人管理员生成、保管和销毁
系统设置验收不可篡改与不可提前解密",,,,
65,非功能需求,Excel 导入导出范围包括哪些模块？,所有模块,,,,
66,非功能需求,需纳入审计的关键操作清单由谁确认？日志保存多久，哪些角色可查询、导出和审计？,开发到具体模块的时候，开发到具体模块的时候，与采购管理部联系,,,,
67,非功能需求,文件上传大小和格式限制是什么？,文件大小单文件上限预留200MB，实际按业务限制≤100MB；文档类 PDF、DOC、DOCX、PPT、PPTX；表格类 XLS、XLSX、CSV；图片类 JPG、JPEG、PNG；压缩包 ZIP（建议优先）、RAR,,,,
68,非功能需求,电脑端需要支持哪些浏览器及最低版本、最低分辨率？,Google Chrome 131+、Microsoft Edge 131+、360浏览器 15.0+、Safari 18+、Firefox 133+;分辨率设计基准 1920×1080，最低支持 1366×768,,,,
69,工期确认,"是否能配备一名业务测试人员,开发过程中实时和我们对接和答疑",采购管理部、产品研发部、投标合约部,是否可以每个部门各派一个成员和我们实时联系 疑问回答才比较迅速,,,
70,工期确认,"能否列一个""一期""""二期""功能清单,方便着重开发核心功能",CA认证为二期，具体会议讨论,会议讨论CA本期是否真实接入,,,
,,,,,,,
71,,委托代理只能随机抽取，还是允许直接指定。随机抽取的话是通过哪些依据,直接指定,,,,
72,,委托合同是否必须审批,不用审核,,,,
